,State,"AI Office: The government should establish an AI office to study AI’s impacts on society, evaluate frontier AI systems for risks, and make non-binding recommendations to AI developers about how to reduce societal risks.",Funding: Governments should establish programs for funding scientific research on understanding and mitigating the societal risks of AI.,System registration: Companies who make frontier AI systems should be required to register those systems with the government.,Risk-management policies: Companies developing frontier AI systems should be required to write and publicly share reports on their company policies for assessing and managing societal risks.,System documentation: AI companies should be required to write and publicly share reports about what uses their frontier AI systems are designed for and how they are meant to behave.,Risk assessment reports: AI companies should be required to write and publicly share risk assessment reports for their frontier systems.,Third-party evaluations: AI companies building frontier models should be required to have a third party evaluate them for risks and publicly share a report on their findings.,Government approval: Companies developing frontier AI systems should be required to submit reports on risk evaluations and obtain government approval from a designated AI office before deploying their systems.,Safety requirements: Government AI agencies should have the authority to make and enforce concrete safety standards for frontier AI systems.,"Staged deployment: Companies deploying frontier AI systems should be required to deploy them gradually in stages and monitor impacts at each stage. 
For example, developers could be required to first release a system with limited access to users before giving users full access later.","Content labeling: To inform humans about what kind of content they are viewing, AI-generated content (images, videos, text) should be required to be clearly labeled as AI-generated.","File labeling: To help track the origins of data (known as digital forensics), regulators should require that AI-generated content (images, videos, text) are saved using file formats which indicate that they are AI-generated.","Shutdown procedures: AI companies building autonomous frontier AI systems should be required to report on what, if any, shutdown procedures they have in place for them.",Whistleblower protections: Policymakers should establish legal protections for employees of AI companies who raise concerns about company risk management practices or report potential violations of laws.,Q45,Incident reporting: AI companies building frontier models should be required to publicly report on incidents which involve harms to humans health or large economic damages.,Direct liability: AI companies should be held liable for direct harms caused by their systems as if those systems were their employees.,Indirect liability: Companies that make frontier AI systems should be held legally responsible for indirect damages their systems cause if it a court establishes that the company could have anticipated these problems.,"Slower development: Should governments work to slow down the development of AI until we have more protections in place to reduce risks, even if it delays benefits of the new technology?",What is your age?,What best describes your gender?,What best describes the highest level of education you have completed?,What best describes your employment status?,"What industry sector(s), if any, do you have work experience in? (if employed):",What best describes your familiarity with AI technology?,What best describes how often you interact with AI systems such as ChatGPT in your daily life?,What best describes your political orientation?,What best describes where you live?
156,IL,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Support,Strongly Oppose,Strongly Oppose,Strongly Oppose,Neutral,Strongly Support,Strongly Support,Neutral,Strongly Oppose,55-64,Male,Bachelor's degree,Self-employed,Other,Slightly familiar,Approximately weekly,Moderate,Urban
157,IL,Support,Neutral,Support,Support,Support,Support,Oppose,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,35-44,Female,Bachelor's degree,Employed part-time,Other,Moderately familiar,Approximately monthly,Somewhat conservative,Urban
158,IL,Strongly Support,Support,Support,Strongly Support,Support,Support,Strongly Support,Support,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Neutral,Neutral,45-54,Female,Bachelor's degree,Unemployed,Not applicable,Moderately familiar,Approximately monthly,Very liberal,Suburban
159,IL,Support,Support,Support,Neutral,Support,Support,Support,Neutral,Support,Oppose,Strongly Support,Support,Support,Neutral,Neutral,Support,Neutral,Oppose,Oppose,65+,Female,Master's degree,Retired,Not applicable,Moderately familiar,Almost never,Somewhat conservative,Rural
160,IL,Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Support,Support,Oppose,25-34,Male,Associate's degree,Employed full-time,"Technology/IT,Government/Public Sector",Very familiar,Approximately weekly,Somewhat conservative,Rural
161,IL,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,35-44,Male,High school graduate or equivalent,Unemployed,Other,Very familiar,Approximately monthly,Moderate,Suburban
162,IL,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Neutral,35-44,Female,"Some college, no degree",Unemployed,Not applicable,Moderately familiar,Approximately daily or more,Somewhat liberal,Rural
163,IL,Strongly Support,Strongly Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Neutral,Support,Support,Support,Oppose,25-34,Male,Bachelor's degree,Employed full-time,Retail,Very familiar,Approximately daily or more,Somewhat liberal,Urban
164,IL,Strongly Oppose,Oppose,Oppose,Oppose,Strongly Support,Neutral,Neutral,Oppose,Neutral,Oppose,Strongly Oppose,Neutral,Neutral,Neutral,Neutral,Strongly Oppose,Oppose,Oppose,Support,25-34,Female,"Some college, no degree",Self-employed,Other,Slightly familiar,Approximately weekly,Very conservative,Rural
165,IL,Strongly Oppose,Neutral,Neutral,Support,Support,Support,Neutral,Neutral,Support,Oppose,Support,Neutral,Support,Support,Neutral,Strongly Support,Support,Neutral,Support,35-44,Female,High school graduate or equivalent,Employed part-time,"Education,Retail",Moderately familiar,Approximately monthly,Somewhat conservative,Suburban
166,IL,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Support,Neutral,Support,35-44,Female,Associate's degree,Employed full-time,Other,Moderately familiar,Approximately weekly,Somewhat liberal,Urban
167,IL,Support,Support,Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,18-24,Male,High school graduate or equivalent,Employed part-time,Retail,Moderately familiar,Approximately monthly,Somewhat liberal,Suburban
168,IL,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,55-64,Female,"Some college, no degree",Unable to work,"Finance/Banking,Other",Slightly familiar,Approximately monthly,Somewhat conservative,Suburban
169,IL,Support,Support,Support,Support,Strongly Support,Strongly Support,Support,Support,Support,Support,Neutral,Neutral,Support,Strongly Support,Neutral,Support,Support,Support,Neutral,35-44,Male,Bachelor's degree,Self-employed,Education,Moderately familiar,Approximately weekly,Somewhat liberal,Urban
170,IL,Oppose,Support,Support,Oppose,Oppose,Support,Support,Strongly Oppose,Oppose,Neutral,Support,Support,Strongly Support,Support,Neutral,Strongly Support,Strongly Support,Support,Oppose,25-34,Male,"Some college, no degree",Employed part-time,"Manufacturing,Retail",Slightly familiar,Almost never,Somewhat conservative,Suburban
171,IL,Neutral,Neutral,Support,Oppose,Support,Neutral,Support,Neutral,Strongly Support,Oppose,Strongly Support,Neutral,Support,Oppose,Neutral,Strongly Oppose,Strongly Support,Support,Neutral,35-44,Male,Bachelor's degree,Employed full-time,"Technology/IT,Manufacturing",Very familiar,Approximately daily or more,Moderate,Suburban
172,IL,Support,Oppose,Neutral,Support,Support,Neutral,Support,Oppose,Neutral,Oppose,Strongly Support,Strongly Support,Neutral,Support,Neutral,Support,Support,Neutral,Oppose,55-64,Female,High school graduate or equivalent,Employed part-time,Retail,Slightly familiar,Almost never,Somewhat conservative,Suburban
173,IL,Support,Support,Support,Strongly Support,Support,Strongly Support,Support,Neutral,Strongly Support,Neutral,Support,Support,Neutral,Neutral,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,35-44,Nonbinary,"Some college, no degree",Unemployed,"Retail,Other",Slightly familiar,Approximately monthly,Moderate,Urban
174,IL,Support,Support,Strongly Support,Support,Strongly Support,Support,Neutral,Support,Support,Strongly Support,Neutral,Neutral,Strongly Support,Neutral,Neutral,Strongly Support,Strongly Support,Support,Support,25-34,Male,Associate's degree,Employed full-time,Technology/IT,Slightly familiar,Almost never,Moderate,Suburban
175,IL,Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Support,Neutral,Neutral,25-34,Male,Bachelor's degree,Employed full-time,Healthcare,Moderately familiar,Approximately monthly,Very liberal,Urban
176,IL,Neutral,Support,Support,Strongly Support,Support,Support,Strongly Support,Neutral,Support,Support,Strongly Support,Support,Neutral,Strongly Support,Neutral,Support,Oppose,Neutral,Strongly Support,25-34,Nonbinary,Bachelor's degree,Unemployed,Healthcare,Moderately familiar,Almost never,Very liberal,Rural
177,IL,Neutral,Strongly Oppose,Strongly Oppose,Neutral,Strongly Oppose,Neutral,Neutral,Strongly Oppose,Strongly Oppose,Neutral,Strongly Support,Strongly Support,Support,Strongly Oppose,Neutral,Strongly Support,Neutral,Strongly Oppose,Strongly Oppose,55-64,Male,Bachelor's degree,Employed full-time,Manufacturing,Very familiar,Approximately daily or more,Somewhat conservative,Suburban
178,IL,Oppose,Support,Strongly Oppose,Strongly Support,Support,Strongly Support,Support,Strongly Oppose,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Oppose,Strongly Oppose,25-34,Male,Master's degree,Employed full-time,"Technology/IT,Education",Very familiar,Approximately weekly,Somewhat liberal,Suburban
179,IL,Support,Strongly Support,Neutral,Strongly Support,Support,Support,Strongly Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Support,Support,Strongly Support,45-54,Female,Associate's degree,Employed full-time,Healthcare,Moderately familiar,Approximately daily or more,Somewhat liberal,Suburban
180,IL,Neutral,Neutral,Oppose,Support,Support,Support,Support,Neutral,Neutral,Support,Support,Support,Neutral,Support,Neutral,Support,Support,Neutral,Neutral,35-44,Male,Bachelor's degree,Employed full-time,"Technology/IT,Education",Moderately familiar,Approximately daily or more,Moderate,Rural
181,IL,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,35-44,Female,Bachelor's degree,Employed part-time,"Education,Other",Moderately familiar,Approximately weekly,Very liberal,Suburban
182,IL,Support,Support,Oppose,Oppose,Oppose,Oppose,Neutral,Strongly Oppose,Oppose,Oppose,Strongly Support,Strongly Support,Neutral,Neutral,Neutral,Oppose,Strongly Support,Support,Oppose,25-34,Male,Bachelor's degree,Employed full-time,"Education,Retail",Very familiar,Approximately weekly,Somewhat liberal,Urban
183,IL,Support,Support,Oppose,Neutral,Neutral,Neutral,Support,Oppose,Neutral,Strongly Oppose,Strongly Support,Neutral,Neutral,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Neutral,35-44,Female,Bachelor's degree,Employed full-time,Other,Moderately familiar,Approximately monthly,Very conservative,Suburban
184,IL,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Support,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Support,Support,Strongly Support,Neutral,45-54,Female,"Some college, no degree",Employed part-time,"Education,Retail,Other",Slightly familiar,Approximately monthly,Somewhat conservative,Suburban
185,IL,Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,Support,Support,Strongly Support,Support,Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Support,35-44,Male,Bachelor's degree,Employed full-time,Healthcare,Moderately familiar,Approximately weekly,Very liberal,Urban
186,IL,Strongly Support,Support,Strongly Support,Support,Neutral,Strongly Support,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Neutral,25-34,Female,Bachelor's degree,Employed full-time,"Technology/IT,Finance/Banking,Retail",Very familiar,Approximately monthly,Very liberal,Urban
187,IL,Support,Support,Neutral,Support,Neutral,Support,Support,Neutral,Support,Neutral,Support,Support,Support,Support,Neutral,Strongly Support,Support,Neutral,Oppose,45-54,Female,Master's degree,Employed full-time,Education,Moderately familiar,Approximately weekly,Somewhat liberal,Urban
188,IL,Support,Support,Neutral,Support,Support,Support,Neutral,Support,Support,Support,Strongly Support,Support,Neutral,Support,Neutral,Strongly Support,Neutral,Neutral,Support,25-34,Male,"Some college, no degree",Employed full-time,Retail,Moderately familiar,Approximately weekly,Very conservative,Suburban
189,IL,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Support,Oppose,Support,Neutral,Support,Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Oppose,18-24,Female,Bachelor's degree,Employed full-time,"Manufacturing,Other",Very familiar,Approximately daily or more,Somewhat liberal,Suburban
190,IL,Support,Strongly Support,Support,Support,Support,Support,Support,Neutral,Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,25-34,Female,Associate's degree,Employed full-time,Not applicable,Slightly familiar,Approximately monthly,Somewhat liberal,Rural
191,IL,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Oppose,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,55-64,Male,Master's degree,Retired,"Education,Finance/Banking,Retail",Slightly familiar,Almost never,Somewhat liberal,Suburban
192,IL,Neutral,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Support,Strongly Support,Strongly Support,Neutral,Support,Support,Neutral,Neutral,55-64,Female,Associate's degree,Employed part-time,Healthcare,Moderately familiar,Approximately weekly,Very liberal,Urban
193,IL,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,25-34,Male,Bachelor's degree,Employed full-time,Manufacturing,Slightly familiar,Almost never,Somewhat liberal,Urban
194,IL,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Oppose,Support,Support,35-44,Female,Bachelor's degree,Self-employed,Other,Moderately familiar,Approximately weekly,Somewhat liberal,Suburban
195,IL,Support,Support,Support,Support,Support,Support,Neutral,Neutral,Neutral,Support,Strongly Support,Support,Strongly Support,Support,Neutral,Support,Support,Support,Neutral,35-44,Male,Bachelor's degree,Employed full-time,Retail,Very familiar,Approximately daily or more,Somewhat liberal,Urban
196,IL,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Support,45-54,Male,High school graduate or equivalent,Employed part-time,Other,Moderately familiar,Approximately monthly,Moderate,Suburban
197,IL,Neutral,Neutral,Neutral,Support,Support,Support,Neutral,Neutral,Support,Support,Support,Support,Support,Support,Neutral,Neutral,Support,Support,Support,35-44,Female,Master's degree,Employed full-time,Education,Slightly familiar,Almost never,Somewhat liberal,Suburban
198,IL,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Support,Support,Support,Neutral,Support,Support,Support,Support,Neutral,Strongly Support,Strongly Support,Support,Support,25-34,Male,Bachelor's degree,Unemployed,"Technology/IT,Education,Retail,Other",Moderately familiar,Approximately weekly,Very liberal,Suburban
199,IL,Oppose,Strongly Support,Neutral,Neutral,Support,Support,Neutral,Neutral,Support,Support,Support,Neutral,Support,Support,Neutral,Support,Support,Oppose,Oppose,35-44,Male,Bachelor's degree,Employed full-time,Other,Extremely familiar,Approximately weekly,Moderate,Rural
200,NY,Neutral,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,25-34,Male,Professional degree,Student,Healthcare,Slightly familiar,Approximately weekly,Somewhat liberal,Urban
201,NY,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Strongly Support,25-34,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately weekly,Somewhat liberal,Urban
202,NY,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Neutral,Strongly Oppose,25-34,Male,"Some college, no degree",Unemployed,Retail,Moderately familiar,Approximately weekly,Somewhat liberal,Urban
203,NY,Support,Support,Neutral,Support,Strongly Support,Strongly Support,Support,Oppose,Support,Support,Strongly Support,Support,Neutral,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,25-34,Female,Master's degree,Employed full-time,Education,Slightly familiar,Approximately monthly,Very liberal,Suburban
204,NY,Neutral,Support,Support,Neutral,Neutral,Support,Neutral,Support,Strongly Support,Neutral,Oppose,Support,Support,Support,Neutral,Strongly Support,Support,Neutral,Support,55-64,Female,Associate's degree,Self-employed,Healthcare,Moderately familiar,Almost never,Moderate,Suburban
205,NY,Support,Strongly Support,Support,Support,Support,Strongly Support,Support,Support,Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Support,Support,Support,Strongly Support,35-44,Female,Doctorate,Employed full-time,Healthcare,Extremely familiar,Approximately weekly,Very liberal,Urban
206,NY,Neutral,Neutral,Support,Support,Support,Support,Support,Neutral,Support,Support,Support,Support,Neutral,Oppose,Neutral,Support,Support,Support,Neutral,45-54,Female,Master's degree,Employed full-time,Education,Slightly familiar,Approximately monthly,Somewhat liberal,Suburban
207,NY,Support,Support,Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Support,Support,Neutral,Support,Neutral,Neutral,Neutral,Neutral,Neutral,45-54,Female,Bachelor's degree,Employed full-time,Finance/Banking,Moderately familiar,Approximately weekly,Moderate,Urban
208,NY,Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Support,25-34,Female,Master's degree,Self-employed,Other,Very familiar,Approximately daily or more,Very conservative,Urban
209,NY,Support,Support,Support,Support,Support,Support,Neutral,Oppose,Support,Oppose,Strongly Support,Support,Support,Strongly Support,Neutral,Support,Strongly Support,Neutral,Strongly Oppose,25-34,Male,High school graduate or equivalent,Employed full-time,Manufacturing,Very familiar,Approximately daily or more,Moderate,Urban
210,NY,Support,Neutral,Support,Support,Support,Support,Neutral,Support,Support,Support,Support,Neutral,Neutral,Neutral,Neutral,Support,Support,Support,Neutral,45-54,Female,Associate's degree,Employed full-time,Manufacturing,Slightly familiar,Approximately weekly,Somewhat liberal,Suburban
211,NY,Neutral,Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,18-24,Female,Bachelor's degree,Employed full-time,Healthcare,Very familiar,Approximately monthly,Very liberal,Suburban
212,NY,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Oppose,Strongly Oppose,Neutral,Oppose,Neutral,Oppose,Strongly Oppose,35-44,Male,Bachelor's degree,Employed full-time,Finance/Banking,Very familiar,Almost never,Moderate,Urban
213,NY,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Oppose,35-44,Male,Bachelor's degree,Employed full-time,"Healthcare,Education",Extremely familiar,Approximately daily or more,Somewhat conservative,Urban
214,NY,Support,Oppose,Strongly Support,Support,Support,Support,Neutral,Strongly Support,Strongly Support,Oppose,Strongly Oppose,Oppose,Oppose,Support,Neutral,Strongly Support,Support,Strongly Support,Support,25-34,Male,Associate's degree,Employed full-time,Not applicable,Very familiar,Almost never,Somewhat liberal,Urban
215,NY,Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Support,Neutral,Support,Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Neutral,35-44,Female,Bachelor's degree,Employed full-time,Other,Very familiar,Approximately weekly,Somewhat liberal,Urban
216,NY,Support,Strongly Support,Support,Support,Neutral,Neutral,Support,Support,Support,Neutral,Strongly Support,Support,Neutral,Support,Neutral,Support,Oppose,Neutral,Support,35-44,Female,Master's degree,Prefer not to say,Prefer not to say,Very familiar,Approximately daily or more,Somewhat liberal,Suburban
217,NY,Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Oppose,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Strongly Oppose,35-44,Male,"Some college, no degree",Self-employed,Technology/IT,Extremely familiar,Approximately daily or more,Very conservative,Suburban
218,NY,Support,Neutral,Neutral,Support,Support,Support,Support,Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,25-34,Female,Bachelor's degree,Employed full-time,Other,Very familiar,Approximately monthly,Moderate,Suburban
219,NY,Neutral,Oppose,Oppose,Support,Strongly Support,Strongly Support,Support,Oppose,Oppose,Neutral,Neutral,Neutral,Neutral,Support,Neutral,Support,Neutral,Oppose,Oppose,25-34,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately daily or more,Somewhat conservative,Suburban
220,NY,Strongly Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Neutral,Oppose,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Neutral,Oppose,Oppose,Strongly Oppose,45-54,Male,Bachelor's degree,Employed full-time,Manufacturing,Moderately familiar,Approximately weekly,Somewhat liberal,Suburban
221,NY,Oppose,Neutral,Neutral,Support,Support,Support,Support,Oppose,Neutral,Support,Support,Support,Support,Support,Neutral,Support,Support,Support,Oppose,65+,Female,Master's degree,Employed part-time,Healthcare,Moderately familiar,Approximately weekly,Somewhat conservative,Rural
222,NY,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,25-34,Female,Doctorate,Employed full-time,Other,Slightly familiar,Almost never,Somewhat liberal,Urban
223,NY,Neutral,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Neutral,25-34,Female,Bachelor's degree,Employed full-time,Other,Moderately familiar,Approximately weekly,Somewhat conservative,Suburban
224,NY,Support,Support,Support,Strongly Support,Support,Support,Neutral,Support,Support,Support,Strongly Support,Support,Support,Strongly Support,Neutral,Strongly Support,Support,Support,Neutral,55-64,Male,Bachelor's degree,Employed full-time,"Technology/IT,Healthcare",Slightly familiar,Approximately monthly,Moderate,Rural
225,NY,Strongly Support,Strongly Support,Support,Neutral,Strongly Support,Oppose,Neutral,Oppose,Support,Strongly Support,Support,Support,Neutral,Strongly Support,Neutral,Strongly Support,Support,Neutral,Strongly Support,25-34,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately daily or more,Very conservative,Urban
226,NY,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Neutral,Oppose,Strongly Support,Strongly Support,Neutral,Support,Neutral,Support,Neutral,Support,Support,Support,Oppose,35-44,Female,Bachelor's degree,Employed full-time,Manufacturing,Very familiar,Approximately daily or more,Very conservative,Urban
227,NY,Support,Support,Oppose,Support,Support,Support,Neutral,Oppose,Support,Oppose,Support,Support,Support,Support,Neutral,Strongly Support,Support,Oppose,Oppose,25-34,Male,Bachelor's degree,Employed full-time,Finance/Banking,Very familiar,Approximately weekly,Somewhat liberal,Urban
228,NY,Support,Strongly Support,Strongly Support,Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Support,Strongly Support,Neutral,Support,18-24,Male,Bachelor's degree,Employed full-time,Manufacturing,Very familiar,Approximately daily or more,Very liberal,Urban
229,NY,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Neutral,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,18-24,Female,Bachelor's degree,Employed full-time,Healthcare,Moderately familiar,Approximately weekly,Somewhat liberal,Suburban
230,NY,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Support,Support,Support,25-34,Male,Associate's degree,Employed part-time,Other,Slightly familiar,Approximately weekly,Somewhat liberal,Urban
231,NY,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Support,35-44,Female,Bachelor's degree,Employed full-time,Other,Moderately familiar,Approximately daily or more,Moderate,Suburban
232,NY,Support,Neutral,Neutral,Support,Neutral,Support,Support,Oppose,Support,Support,Support,Support,Support,Neutral,Neutral,Support,Neutral,Neutral,Strongly Oppose,35-44,Female,Master's degree,Employed full-time,Healthcare,Slightly familiar,Approximately weekly,Very conservative,Suburban
233,NY,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Support,Oppose,45-54,Female,Doctorate,Employed full-time,"Education,Other",Moderately familiar,Approximately daily or more,Somewhat liberal,Suburban
234,NY,Strongly Support,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,25-34,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Moderately familiar,Almost never,Somewhat liberal,Urban
235,NY,Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Support,45-54,Female,Bachelor's degree,Employed full-time,Technology/IT,Moderately familiar,Approximately monthly,Very liberal,Urban
236,NY,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,35-44,Male,"Some college, no degree",Employed full-time,"Technology/IT,Other",Extremely familiar,Approximately weekly,Very liberal,Urban
